market,identifier,fiscal_year,market_cap_usd,revenue_usd,operating_income_usd,net_income_usd,currency,source
KR,055490,2025,47232000,101619897.55848,1806055.1964,1451975.238,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,055550,2025,32944824000.000004,,5056817040,3660853680,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,056080,2025,415944000,20296349.37576,-3624091.70544,-5028328.69848,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,056090,2025,96624000,34009160.41728,2746359.53352,4685408.39376,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,056190,2025,611424000,1174284352.84752,61819901.41536,37514014.99056,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,056360,2025,39240000,45071669.01384,220510.94904,2498573.27304,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,056700,2025,31896000,164977576.39512,6549061.10832,2418872.20272,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,056730,2025,20160000,34200630.82728,-8113918.12272,-9116581.08672,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,057030,2025,25056000,37320745.46256,683993.30544,1153163.24928,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,057050,2025,754272000,2728680670.08,94155323.76,82595741.04,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,057500,2024,,25163551.52568,-131682.08088,112380630.72768,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,057540,2025,34560000,71328998.6856,732543.82416,-111065.08032,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,057680,2025,19008000,26183847.59496,190315.1232,-1151412.23448,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,057880,2024,,2633389.18776,-1060039.28376,-5509255.55472,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,058110,2025,22392000,8127180.76248,-2006736.88464,-1947194.694,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058400,2025,52056000,49324990.60728,2299900.12848,8139025.76616,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058430,2025,226368000,810317159.90136,17610246.33984,13075256.60928,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058450,2025,15480000,4526106.23376,-4314158.41896,-7527800.97144,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,058470,2025,4680648000,268224540.91776,127437975.56808,109411682.69232,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,058530,2025,,14540930.37864,-6600645.6624,-9937349.64216,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
